所属模块,用例编号,用例标题,步骤,预期,用例类型,优先级,用例状态,前置条件
/财务管理(#79),cwgl-010,翻页测试,"1. 点击财务管理下的提现未处理按钮
2.在查询列表下点击2按钮",1.直接跳转到第二页的界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个未处理的提现信息以上"
/财务管理(#79),cwgl-011,提现管理,1. 点击财务管理下的提现管理按钮,1.进入到提现管理界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-012,提现管理查询测试,"1. 点击财务管理下的提现管理按钮
2. 在提现提现管理界面中在查询的输入框输入yang111
3.点击查询，观察结果",1.会查询出yang111的账号未处理的提现申请信息,功能测试,3,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-013,提现管理查询测试,"1. 点击财务管理下的提现管理按钮
2. 在提现管理界面中在查询的输入框输入yang000
3.点击查询，观察结果",1.没有查询出任何信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-014,提现管理查询测试,"1.点击系统后台管理下的提现管理按钮
2. 在提现管理界面中在查询的输入框分别输入（1）我的（2）aad(3)###$(4)10000(5)为空
3.点击查询按钮（第二步骤采用等价类的方法没输入一种数据类型就点击一次查询）",1.查询输入框可以正确输入所有的数据类型，输入为空时查询出所有的账号信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-015,提现管理查询测试,"1. 点击财务管理下的提现管理按钮
2. 在提现管理界面中在查询的输入框输入100个字符
3.点击查询",1.不会出现异常，但是没有这条数据,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-016,提现管理处理状态查询测试,"1. 点击财务管理下的提现管理按钮
2. 检查处理状态下拉选项菜单的内容",1.下拉菜单的状态内容为“已处理”，‘未处理’，‘取消提现’，‘所有’,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-017,提现管理处理状态查询测试,"1. 点击财务管理下的提现管理按钮
2. 处理状态下拉选项菜单中选择已处理
3.点击查询按钮",1.查询出所有状态为已处理的提现记录信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有状态为已处理的记录信息"
/财务管理(#79),cwgl-018,提现管理处理状态查询测试,"1. 点击财务管理下的提现管理按钮
2. 处理状态下拉选项菜单中选择所有
4.点击查询按钮",2.查询出所有状态的提现记录信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-019,提现管理处理测试,"1. 点击财务管理下的提现未处理按钮
2.选择一条记录信息点击处理记录按钮",1.弹出提示“处理成功”，记录的状态显示为‘已处理’,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-020,提现管理删除测试,"1. 点击财务管理下的提现管理按钮
2.选择一条记录信息点击删除记录按钮",1.弹出提示“删除成功”，这条记录从查询列表中消失,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-021,提现管理取消提现测试,"1. 点击财务管理下的提现管理按钮
2.选择一条记录信息点击取消提现按钮",1.弹出提示“处理成功”，记录的状态显示为‘取消提现’,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-022,翻页测试,"1. 点击财务管理下的提现管理按钮
2.检查查询列表最下方的记录总数总结",1.记录总结的数量是11是当前页面显示的所有记录信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个未处理的提现信息以上"
/财务管理(#79),cwgl-023,翻页测试,"1. 点击财务管理下的提现未处理按钮
2.在查询列表下点击下一页按钮
3.点击上一页按钮",1.界面跳转到下一页后点击上一页回到最初的界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个未处理的提现信息以上"
/财务管理(#79),cwgl-024,翻页测试,"1. 点击财务管理下的提现管理按钮
2.在查询列表下点击2按钮",1.直接跳转到第二页的界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个未处理的提现信息以上"
/财务管理(#79),cwgl-025,公司入款记录测试,1. 点击财务管理下的公司入款记录按钮,界面跳转到公司入款记录界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-026,公司入款记录查询测试,"1. 点击财务管理下的公司入款记录按钮
2. 在提现提现管理界面中在查询的输入框输入yang111
3.点击查询，观察结果",1.会查询出yang111的账号所有的充值记录信息,功能测试,3,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-027,公司入款记录查询测试,"1. 点击财务管理下的公司入款记录按钮
2. 在提现管理界面中在查询的输入框输入yang000
3.点击查询，观察结果",1.没有查询出任何信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-028,公司入款记录查询测试,"1. 点击财务管理下的公司入款记录按钮
2. 在提现管理界面中在查询的输入框分别输入（1）我的（2）aad(3)###$(4)10000(5)为空
3.点击查询按钮（第二步骤采用等价类的方法没输入一种数据类型就点击一次查询）",1.查询输入框可以正确输入所有的数据类型，输入为空时查询出所有的账号信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-029,公司入款记录查询测试,"1. 点击财务管理下的公司入款记录按钮
2. 在提现管理界面中在查询的输入框输入100个字符
3.点击查询",1.不会出现异常，但是没有这条数据,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-030,翻页测试,"1. 点击财务管理下的公司入款记录按钮
2.检查查询列表最下方的记录总数总结",1.记录总结的数量是11是当前页面显示的所有记录信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-031,翻页测试,"1. 点击财务管理下的公司入款记录按钮
2.在查询列表下点击下一页按钮
3.点击上一页按钮",1.界面跳转到下一页后点击上一页回到最初的界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-032,翻页测试,"1. 点击财务管理下的公司入款记录按钮
2.在查询列表下点击2按钮",1.直接跳转到第二页的界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-033,公司入款记录充值测试,"1. 点击财务管理下的公司入款记录按钮
2.选择一条状态为未处理的记录点击确认充值",1.弹出提示“充值成功”，状态变为已处理,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-034,公司入款记录删除记录,"1. 点击财务管理下的公司入款记录按钮
2.选择一条状态为未处理的记录点击删除",1.弹出提示“删除成功”,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-035,公司入款记录删除记录,"1. 点击财务管理下的公司入款记录按钮
2.选择一条状态为已处理的记录点击删除",1.已处理的记录没有删除这个按钮,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-036,充值管理测试,1. 点击财务管理下的充值管理按钮,1.进入到充值管理的界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有30条充值记录信息以上"
/财务管理(#79),cwgl-037,充值管理查询测试,"1. 点击财务管理下的充值管理按钮
2. 在充值管理管理界面中在查询的输入框输入yang111
3.点击查询，观察结果",1.会查询出yang111的账号所有的充值记录信息,功能测试,3,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有30条充值记录信息以上
4.已有yang111的充值记录信息"
/财务管理(#79),cwgl-038,充值管理查询测试,"1. 点击财务管理下的充值管理按钮
2. 在充值管理界面中在查询的输入框输入yang000
3.点击查询，观察结果",1.没有查询出任何信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有30条充值记录信息以上
4.没有yang000的充值信息"
/财务管理(#79),cwgl-039,充值管理查询测试,"1. 点击财务管理下的充值管理按钮
2. 在提现管理界面中在查询的输入框分别输入（1）我的（2）aad(3)###$(4)10000(5)为空
3.点击查询按钮（第二步骤采用等价类的方法没输入一种数据类型就点击一次查询）",1.查询输入框可以正确输入所有的数据类型，输入为空时查询出所有的账号信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有30条充值记录信息以上"
/财务管理(#79),cwgl-040,充值管理查询测试,"1. 点击财务管理下的充值管理按钮
2. 在充值管理界面中在查询的输入框输入100个字符
3.点击查询",1.不会出现异常，但是没有这条数据,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有30条充值记录信息以上"
/财务管理(#79),cwgl-041,充值管理查询测试,"1. 点击财务管理下的充值管理按钮
2.检查在查询输入框前的下拉菜单",1.下拉菜单的状态内容为‘账号’，‘商户号’,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有30条充值记录信息以上"
/财务管理(#79),cwgl-042,充值管理商户号查询测试,"1. 点击财务管理下的充值管理按钮
2.检查在查询输入框前的下拉菜单选择商户号
3.在查询输入框中输入‘yang’",1.查询不到任何的信息，搜索结果为空,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有30条充值记录信息以上"
/财务管理(#79),cwgl-043,充值管理商户号查询测试,"1. 点击财务管理下的充值管理按钮
2.检查在查询输入框前的下拉菜单选择商户号
3.在查询输入框中输入yang111的商户号‘2019042052565651’点击查询按钮",1.可以查询出yang111的充值信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有30条充值记录信息以上"
/财务管理(#79),cwgl-044,翻页测试,"1. 点击财务管理下的充值管理按钮
2.检查查询列表最下方的记录总数总结",1.记录总结的数量是15是当前页面显示的所有记录信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有30条充值记录信息以上"
/财务管理(#79),cwgl-045,翻页测试,"1. 点击财务管理下的充值管理按钮
2.在查询列表下点击下一页按钮
3.点击上一页按钮",1.界面跳转到下一页后点击上一页回到最初的界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有30条充值记录信息以上"
/财务管理(#79),cwgl-046,翻页测试,"1. 点击财务管理下的充值管理按钮
2.在查询列表下点击2按钮",1.直接跳转到第二页的界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有30条充值记录信息以上"
/项目管理(#80),xmgl-001,添加项目测试,1.点击项目管理下添加项目按钮,1.进入到添加项目界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/项目管理(#80),xmgl-002,添加项目测试,"1.点击项目管理模块下的添加项目按钮
2.在项目名称中输入‘希望小学投资企划’
3.在代理机构中输入‘杨氏管公益基金’
4.项目规模中输入100000
5.投资进度输入20
6.起投金额输入100
7.最高金额输入0
8.投资人数输入100
9.可投金额输入200
10.交易日化收益输入1
11.提取收益佣金输入3
12.项目期限输入10
13.点击提交",1. 弹出提示“添加成功”，添加的项目可以在项目管理中查看到,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/项目管理(#80),xmgl-003,添加项目项目分类测试,"1.点击项目管理模块下的添加项目按钮
2.在项目分类中检查选择项目分类下拉选项",1.下拉菜单的内容为“天天盈专区”，‘定宝盈专区’，‘钻石vip专享’,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/项目管理(#80),xmgl-004,排序输入框测试,"1.点击项目管理模块下的添加项目按钮
2.在排序输入框中分别输入（1）我的（2）aad(3)###$(4)1000(5)为空（6）11.11
3.后面的输入框照正常输入数据
4.点击提交按钮（第二步骤采用等价类的方法没输入一种数据类型就点击一次查询）",排序输入框输入所有的输入类型都可以保存,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/项目管理(#80),xmgl-005,排序输入框测试,"1.点击项目管理模块下的添加项目按钮
2.在排序输入框中输入1234567890
3.后面的输入框照正常输入数据
4.点击提交按钮查询）",提交成功，项目可以在项目管理中查看,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/项目管理(#80),xmgl-006,项目名称输入框测试,"1.点击项目管理模块下的添加项目按钮
2.在项目名称输入框中分别输入（1）我的（2）aad(3)###$(4)1000（5）11.11
3.后面的输入框照正常输入数据
4.点击提交按钮（第二步骤采用等价类的方法没输入一种数据类型就点击一次查询）",项目名称输入框输入所有的输入类型都可以保存,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/项目管理(#80),xmgl-007,项目名称输入框测试,"1.点击项目管理模块下的添加项目按钮
2.在项目名称中输入1234567890
3.后面的输入框照正常输入数据
4.点击提交按钮查询）",提交成功，项目可以在项目管理中查看,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/项目管理(#80),xmgl-008,项目名称必填项测试,"1.点击项目管理模块下的添加项目按钮
2.在项目名称中不输入信息
3.后面的输入框照正常输入数据
4.点击提交按钮查询）",4.提交失败，弹出提示‘项目名称不能为空’,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/项目管理(#80),xmgl-009,代理机构测试,"1.点击项目管理模块下的添加项目按钮
2.在代理机构输入框中分别输入（1）我的（2）aad(3)###$(4)1000(5)为空（6）11.11
3.后面的输入框照正常输入数据
4.点击提交按钮（第二步骤采用等价类的方法没输入一种数据类型就点击一次查询）",代理机构输入框输入所有的输入类型都可以保存,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/项目管理(#80),xmgl-010,代理机构测试,"1.点击项目管理模块下的添加项目按钮
2.在项目名称中输入1234567890
3.后面的输入框照正常输入数据
4.点击提交按钮查询）",提交成功，项目可以在项目管理中查看,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/项目管理(#80),xmgl-011,代理机构必填项测试,"1.点击项目管理模块下的添加项目按钮
2.在代理机构中不输入信息
3.后面的输入框照正常输入数据
4.点击提交按钮查询）",4.提交失败，弹出提示‘代理机构不能为空’,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/项目管理(#80),xmgl-012,项目规模,"1.点击项目管理模块下的添加项目按钮
2.在代理机构输入框中分别输入（1）我的（2）aad(3)###$(4)1000(5)为空（6）11.11
3.后面的输入框照正常输入数据
4.点击提交按钮（第二步骤采用等价类的方法没输入一种数据类型就点击一次查询）",代理机构输入框输入所有的输入类型都可以保存,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/项目管理(#80),xmgl-013,项目规模,"1.点击项目管理模块下的添加项目按钮
2.在项目名称中输入1234567890
3.后面的输入框照正常输入数据
4.点击提交按钮查询）",提交成功，项目可以在项目管理中查看,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/项目管理(#80),xmgl-014,项目规模必填项测试,"1.点击项目管理模块下的添加项目按钮
2.在项目规模中不输入信息
3.后面的输入框照正常输入数据
4.点击提交按钮查询）",4.提交失败，弹出提示‘项目规模不能为空’,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/项目管理(#80),xmgl-015,投资进度,"1.点击项目管理模块下的添加项目按钮
2.在投资进度输入框中分别输入（1）我的（2）aad(3)###$(4)1000(5)为空（6）11.11
3.后面的输入框照正常输入数据
4.点击提交按钮（第二步骤采用等价类的方法没输入一种数据类型就点击一次查询）",投资进度输入框输入所有的输入类型都可以保存,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/项目管理(#80),xmgl-016,投资进度,"1.点击项目管理模块下的添加项目按钮
2.在投资进度中输入1234567890
3.后面的输入框照正常输入数据
4.点击提交按钮查询）",提交成功，项目可以在项目管理中查看,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/项目管理(#80),xmgl-017,投资进度必填项测试,"1.点击项目管理模块下的添加项目按钮
2.在投资进度中不输入信息
3.后面的输入框照正常输入数据
4.点击提交按钮查询）",4.提交失败，弹出提示‘投资进度不能为空’,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
